"time","velocity","acceleration","pose__translation__x","pose__translation__y","pose__rotation__radians","curvature"
"0.0","0.0","9.33","3.644284158721074","-3.5110832596382324","0.0","0.0"
"0.12939656851440814","1.2072699842394279","9.329999999999998","3.722392455336501","-3.5110831440055628","4.43732604102363E-06","0.000113442791805486"
"0.1829365215564894","1.7067977461220458","9.330000000000009","3.800401980054838","-3.511082338204566","1.76896583179642E-05","0.000226369730279859"
"0.22393430166581127","2.0893070345420193","9.330000000000004","3.878217914559215","-3.5110801620430685","3.97143429929575E-05","0.000339966715069795"
"0.25839206617794097","2.4107979774401898","9.330000000000005","3.9557496938359646","-3.511075946211969","7.05275130804322E-05","0.000455357691290235"
"0.28862938190079307","2.6929121331344","9.330000000000005","4.032910940511886","-3.511069032285244","0.000110200455460598","0.000573630062323756"
"0.3158327401427919","2.946719465532249","9.329999999999995","4.109619399191503","-3.511058772719941","0.000158856921802371","0.000695856803947899"
"0.3407049984044416","3.1787776351134407","9.330000000000002","4.185796870794323","-3.5110445308561857","0.000216671245932527","0.000823116243856344"
"0.36370281998409293","3.393347310451588","9.330000000000005","4.2613691468921","-3.5110256809171774","0.00028386716048287","0.00095651027032127"
"0.3851425576525107","3.5933800628979258","9.330000000000009","4.336265944046094","-3.5110016080091895","0.00036071722945595","0.001097181589412602"
"0.40525399764086545","3.7810197979892757","9.330000000000005","4.410420838144331","-3.510971708121571","0.000447542832216297","0.0012463305468547842"
"0.4242102715613279","3.9578818336671904","9.330000000000034","4.483771198738866","-3.510935388126746","0.00054471464948096","0.0014052319576979238"
"0.4421456990039386","4.1252193717067485","9.330000000000028","4.556258123383039","-3.510892065780213","0.000652653613999342","0.0015752523369930384"
"0.4591670234393688","4.284028328689313","9.329999999999966","4.6278263719687365","-3.510841169720544","0.000771832298409833","0.001757867892193102"
"0.47536080318074586","4.43511629367636","9.329999999999998","4.698424301063656","-3.510782139469388","0.000902776720708261","0.0019546836191275205"
"0.4907984508753133","4.579149546666675","9.330000000000023","4.768003798248563","-3.5107144254314675","0.0010460685542047878","0.0021674538352122576"
"0.5055397746305651","4.716686097303175","9.330000000000002","4.83652021645455","-3.5106374888945804","0.0012023477340281864","0.0023981044838481684"
"0.5196355307961613","4.848199502328187","9.329999999999993","4.903932308300302","-3.5105508020295986","0.001372315456327671","0.00264875755096086"
"0.5331293052838113","4.974096418297961","9.330000000000034","4.970202160429349","-3.5104538478904694","0.0015567375694254405","0.002921757946835004"
"0.5460589269153328","5.094729788120056","9.329999999999984","5.035295127847336","-3.510346120414215","0.0017564483583334413","0.0032197032223720513"
"0.5584575472679848","5.2104089160103","9.330000000000014","5.099179768259274","-3.5102271244209318","0.001972354725258738","0.003545476507167375"
"0.5817758495379649","5.427968676189215","9.330000000000002","5.2232139184054756","-3.509953400579041","0.0024567727646294993","0.004293690964955202"
"0.6032835659931483","5.628635670716076","9.330000000000041","5.3421146313113645","-3.5096289325870673","0.0030188832756980356","0.005196672236499558"
"0.6231436169719318","5.813929946348127","9.330000000000016","5.455738968194947","-3.5092501507964773","0.0036690742798182116","0.006292060644358347"
"0.6414926841077674","5.985126742725473","9.330000000000023","5.563988929841154","-3.5088136596879345","0.0044194330336414156","0.0076267373821496225"
"0.6584481313958253","6.143321065923054","9.330000000000014","5.666809355394177","-3.5083162378712998","0.00528397008959558","0.0092590844391221"
"0.6741128459697804","6.289472852898055","9.329999999999968","5.7641858211498","-3.5077548380856296","0.006278857853365578","0.011261653513223304"
"0.688578710244954","6.424439366585425","9.330000000000007","5.856142539347735","-3.5071265871991777","0.007422670997815738","0.013724206879012863"
"0.7019291462644878","6.548998934647675","9.329999999999963","5.942740256963948","-3.5064287862093955","0.00873660697267139","0.01675698059062842"
"0.7142410143024023","6.663868663441417","-0.5109906195813445","6.024074154502999","-3.5056589102429294","0.01024465118525451","0.020493817183221054"
"0.7256811716818237","6.658022850333999","-9.329999999999972","6.1002717447903745","-3.5048146085556233","0.011973631627848801","0.025094469938187883"
"0.7364601966840832","6.5574545470629175","-9.330000000000014","6.171490771764816","-3.503893704532519","0.013953080095155548","0.030744827029921772"
"0.7466653291020393","6.462240661603388","-9.329999999999993","6.237917109270654","-3.502894195687853","0.016214780380499623","0.03765296968792869"
"0.7653899176190679","6.287540250739511","-9.329999999999963","6.357263253535804","-3.500652224236771","0.021717056892260212","0.0561057412600322"
"0.7819835892733463","6.132721294205094","-9.330000000000021","6.460279920560938","-3.4980761569002126","0.02872497362295705","0.08178045468498833"
"0.7966631563449011","5.995760933427487","-9.329999999999979","6.549252454519932","-3.4951562424431595","0.03736455216039292","0.11387010577447462"
"0.8097269305288705","5.873875920291054","-9.329999999999973","6.626714562140064","-3.4918855156977426","0.047454058896777035","0.1462338268309262"
"0.8215442781192822","5.763620067272512","-9.33","6.695381074056679","-3.4882597975632406","0.058271226593426075","0.16495572555126023"
"0.8431933011251639","5.561634682627637","-9.329999999999998","6.817688820988973","-3.4799406010598313","0.07632557404044585","0.10489637062316207"
"0.8654853085204987","5.353650253629163","-9.329999999999973","6.938961750037688","-3.470220941470115","0.08101462755855972","-0.020434973665844198"
"0.8781889511679407","5.235125267728529","-9.329999999999997","7.00600537457488","-3.464855092229533","0.07833870842942217","-0.054193164257188856"
"0.8926621486883816","5.100090334862816","-9.329999999999997","7.080580625150581","-3.459167684405639","0.07376773436303617","-0.06465459083444947"
"0.9094732873205449","4.943242411424733","-9.33000000000002","7.1647875176868965","-3.453174041367747","0.0684023745186729","-0.060971729194012045"
"0.9292187842795498","4.7590169247972165","-9.33","7.260369282851229","-3.4468922725523172","0.06300493083175697","-0.051464059817486314"
"0.9525454731024058","4.541378918079971","-9.330000000000018","7.368645127410936","-3.440343273462958","0.05800661779732715","-0.040980272040319024"
"0.9801918541211968","4.28343818317465","-9.32999999999999","7.490442995587973","-3.4335507256704267","0.05360676527889642","-0.03159076598869242"
"0.9959085310099394","4.136801587802682","-9.330000000000013","7.55652054448972","-3.4300712833165683","0.05165495177697053","-0.02750967532094854"
"1.013065396765991","3.9767280302987205","-9.330000000000002","7.626032330413562","-3.426541096812627","0.0498712659703109","-0.02384146031038238"
"1.0318273729135015","3.801678792842449","-9.329999999999988","7.698913736587105","-3.4229639099363327","0.0482545365575731","-0.02055686782659865"
"1.052398054051105","3.609754337828607","-9.33","7.775056835082847","-3.4193436405946116","0.046802470836096226","-0.017614173491159534"
"1.0750386965728687","3.398517143100553","-9.329999999999991","7.854308285610546","-3.415684380823587","0.045512550407195713","-0.014965343465401038"
"1.100100196673083","3.164693347165554","-9.330000000000002","7.936467234309518","-3.41199039678858","0.044382752195552586","-0.01255937669331611"
"1.1280807898386394","2.9036344129309124","-9.329999999999998","8.021283212541015","-3.4082661287841063","0.0434121665825809","-0.010343608345391483"
"1.1597401637950149","2.6082524539179293","-9.330000000000004","8.108454035680516","-3.4045161912338804","0.04260158014631929","-0.00826344434264732"
"1.1963562085489434","2.2666247563637754","-9.330000000000007","8.197623701910068","-3.4007453726908117","0.041954091662429464","-0.006260707819086445"
"1.2404292267502843","1.8554234965452636","-9.329999999999997","8.288380291010647","-3.396958635837008","0.041475839425485383","-0.004270476952190604"
"1.2984524500587933","1.3140668230768762","-9.33","8.380253863154433","-3.393161117483773","0.041176939796209455","-0.002215913357489155"
"1.4392956250938282","0.0","-9.33","8.472714357697228","-3.389358128571607","0.04107277859045465","8.79774735191102E-16"
